Ticker,Name
^MERV,MERVAL BUENOS AIRES
^TA100,TA-125
^ATX,ATX
^DJU,Dow Jones Utility Average
^AORD,ALL ORDINARIES
^AEX,AEX-INDEX
RTS.RS,RTSI INDEX
^XAX,NYSE AMEX COMPOSITE INDEX
399107.SZ,SHENZHEN INDEX A
^DJA,Dow Jones Composite Average
^OSEAX,Oslo Bors All-share Index_GI
^NWX,NYSE ARCA NETWORKING INDEX
^TWOII,TOTC all stock subindex
^NQASPA8000LMAUDN,NASDAQ ASPA Financials Large Mi
^HUI,NYSE ARCA GOLD BUGS INDEX
^FTAS,UK FTSE All Share
^FTAI,FTSE AIM All-Share Index
^DRG,NYSE ARCA PHARMACEUTICAL INDEX
^AXJO,S&P/ASX 200
^XBD,NYSE ARCA SECURITIES BROKER/DEA
^BTK,NYSE ARCA BIOTECH INDEX
^XMI,NYSE ARCA MAJOR MARKET INDEX
^XABQ,ABA NASDAQ Community Bank Total
^REIT,Dow Jones Equity All REIT Total
^QAGR,NASDAQ OMX Global Agriculture
^NQNA9000LMJPYN,NASDAQ N America Tech Large Mid
^DAATR,NASDAQ US BROAD DIV ACHIEVR TR
^AXSVTN,
^ABAQ,ABA Community Bank NASDAQ
MICEXINDEXCF.ME,MICEX IND
^VXAPL,CBOE EQUITY VIXON APPLE
^SBF250,CAC ALL-TRADABLE
^QIV,NASDAQ 100 After Hours Indicato
^P1DOW,^P1DOW
^OSTI,TOTC steel and iron subindex
^OMXNORDICEURPI,OMX_Nordic_EUR_PI
^NQZALMZARN,NASDAQ South Africa Large Mid C
^NQZALMCAD,NASDAQ South Africa Large Mid C
^NQUSL8700AUDT,NQ US Lg Cap Financial Svcs AUD
^NQUSBLMAUDT,NASDAQ US Large Mid Cap AUD TR
^NQUSBLMAUDN,NASDAQ US Large Mid Cap AUD NT
^NQUSB8777LMAUDN,NQ US Inv Svcs Large Mid Cap A
^NQUSB8777LMAUD,NQ US Inv Svcs Large Mid Cap A
^NQUSB5371LMJPYN,NQ US Apparel Rtlrs Large Mid
^NQUSB5371LMJPY,NQ US Apparel Rtlrs Large Mid
^NQUSB3763LMGBPT,NQ US Clothing & Accessories L
^NQUSB2795LMEURN,NQ US Financial Admin Large Mi
^NQUSB2000LMAUD,NQ US Inds Large Mid Cap AUD I
^NQNALMN,NASDAQ N America Large Mid Cap
^NQNALMGBP,NASDAQ N America Large Mid Cap
^NQNALMEUR,NASDAQ N America Large Mid Cap
^NQNALMCAD,NASDAQ N America Large Mid Cap
^NQNALM,NASDAQ N America Large Mid Cap
^NQNA8300LM,NASDAQ N America Banks Large Mi
^NQNA8000LMGBPN,NASDAQ N America Financials Lg
^NQNA8000LMEURT,NASDAQ N America Financials Lg
^NQNA5300LMAUD,NASDAQ N America Retail Lg Md C
^NQNA5000LMJPYN,NASDAQ N America Cnsmr Svcs Lg
^NQNA5000LMJPY,NASDAQ N America Cnsmr Svcs Lg
^NQNA4000LMAUD,NASDAQ N America Health Care Lg
^NQNA3700LMEURN,NASDAQ N America Psnl&Hhld Good
^NQNA3000LMN,NASDAQ N America Cnsmr Goods Lg
^NQNA2700LMN,NASDAQ N America Ind Goods & Sv
^NQNA1000LMN,NASDAQ N America Basic Matls Lg
^NQNA0001LMCADN,NASDAQ N America Oil & Gas Lg M
^NQLALMAUD,NASDAQ Lat America Large Mid Ca
^NQDXUSMLTCGN,Nasdaq AlphaDEX Multi Cap Growt
^NQDXEU,NASDAQ AlphaDEX Europe Index
^NQDXEMSC,NASDAQ AlphaDEX EM Small Cap In
^NQDMXUSSCAUDT,NASDAQ Developed ex US SC TR AU
^NQDMXGBLMAUD,NASDAQ DM Ex UK Large Mid Cap A
^NQDMASPAXJPSCAUD,Nasdaq DM ASPA Ex Japan Small C
^NQDMASPALMGBPN,NASDAQ DM ASPA Large Mid Cap GB
^NQCALMAUD,NASDAQ Canada Large Mid Cap AUD
^NQAULMN,NASDAQ Australia Large Mid Cap
^NQATLMCADN,NASDAQ Austria Large Mid Cap CA
